title_record_id,application_id,commitment_date,required_lien_position,vesting_matches_borrowers,exception_count,blocking_exception,exception_summary,rule_id
APP-000001-TTL,APP-000001,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000002-TTL,APP-000002,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000003-TTL,APP-000003,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000004-TTL,APP-000004,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000005-TTL,APP-000005,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000006-TTL,APP-000006,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000007-TTL,APP-000007,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000008-TTL,APP-000008,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000009-TTL,APP-000009,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000010-TTL,APP-000010,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000011-TTL,APP-000011,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000012-TTL,APP-000012,2026-08-29,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000013-TTL,APP-000013,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000014-TTL,APP-000014,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000015-TTL,APP-000015,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000016-TTL,APP-000016,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000017-TTL,APP-000017,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000018-TTL,APP-000018,2026-08-29,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000019-TTL,APP-000019,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000020-TTL,APP-000020,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000021-TTL,APP-000021,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000022-TTL,APP-000022,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000023-TTL,APP-000023,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000024-TTL,APP-000024,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000025-TTL,APP-000025,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000026-TTL,APP-000026,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000027-TTL,APP-000027,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000028-TTL,APP-000028,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000029-TTL,APP-000029,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000030-TTL,APP-000030,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000031-TTL,APP-000031,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000032-TTL,APP-000032,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000033-TTL,APP-000033,2026-08-29,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000034-TTL,APP-000034,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000035-TTL,APP-000035,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000036-TTL,APP-000036,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000037-TTL,APP-000037,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000038-TTL,APP-000038,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000039-TTL,APP-000039,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000040-TTL,APP-000040,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000041-TTL,APP-000041,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000042-TTL,APP-000042,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000043-TTL,APP-000043,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000044-TTL,APP-000044,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000045-TTL,APP-000045,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000046-TTL,APP-000046,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000047-TTL,APP-000047,2026-08-29,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000048-TTL,APP-000048,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000049-TTL,APP-000049,2026-08-06,1,true,2,true,Recorded judgment taking priority over the new lien,TTL-LIE-002
APP-000050-TTL,APP-000050,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000051-TTL,APP-000051,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000052-TTL,APP-000052,2026-08-29,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000053-TTL,APP-000053,2026-06-19,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000054-TTL,APP-000054,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000055-TTL,APP-000055,2026-06-19,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000056-TTL,APP-000056,2026-07-02,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000057-TTL,APP-000057,2026-07-02,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000058-TTL,APP-000058,2026-08-29,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000059-TTL,APP-000059,2026-08-29,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000060-TTL,APP-000060,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000061-TTL,APP-000061,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000062-TTL,APP-000062,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000063-TTL,APP-000063,2026-08-29,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000064-TTL,APP-000064,2026-08-29,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000065-TTL,APP-000065,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000066-TTL,APP-000066,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000067-TTL,APP-000067,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000068-TTL,APP-000068,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000069-TTL,APP-000069,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000070-TTL,APP-000070,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000071-TTL,APP-000071,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000072-TTL,APP-000072,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000073-TTL,APP-000073,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000074-TTL,APP-000074,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
APP-000075-TTL,APP-000075,2026-08-06,1,true,1,false,Standard utility easement,TTL-LIE-002
